LEI,Name
2138004DY7JBUMEL4X69,FIBONATIX (UK) LIMITED
2138004FGNVZBPPAW663,FLEXEWALLET PTY LTD
2138004FIUXU3B2MR537,"CAIXA ECONOMICA MONTEPIO GERAL, CAIXA ECONÓMICA BANCÁRIA, S.A."
2138004FUUD4I7X8H721,THE COMMERCIAL BANK (P.S.Q.C.)
2138004G59FXEAZ6IO10,COVENTRY BUILDING SOCIETY
2138004GV27BUAY7O765,SUNU BANK SÉNÉGAL
2138004HYX8L6R78JV97,PLATFORM SECURITIES INTERNATIONAL LIMITED
2138004IJP5F97ODIH29,HOVIONE FARMACIÊNCIA S.A.
2138004J5VSRWX5VMN77,MAYBANK SECURITIES PTE. LTD.
2138004JBXWWJKIURC57,PEARSON PLC
2138004JHFADM38LBP89,EDMOND DE ROTHSCHILD (MONACO)
2138004JRVG2M5ZJLJ39,CURZON SECURITIES LIMITED
2138004JY6ZNEQ9TZB39,RUSSELL WOOD LIMITED
2138004M68FO1QKVPT44,BEDFORD ROW CAPITAL PLC
2138004MXEU34VKAPI32,ABSA TRUST
2138004N9K31CATCK953,KINGDOM BANK LIMITED
2138004NOGHLON9I7M94,DIT SA en liquidation
2138004NQFROVWSKHW82,ME SOLARIS COMMODITIES FZCO
2138004OB9M9TL96L181,MMC SECURITIES LIMITED
2138004PM63R6524XR26,SCHRODER INVESTMENT MANAGEMENT LIMITED
2138004Q59KLNICZU191,CALICO CAPITAL LIMITED
2138004RRDC64K7UD291,SIGMA BROKING LIMITED
2138004RV2LG9PZKUL77,OGURY LIMITED
2138004SLEFZ7O9RRQ40,"LAZARD & CO., LIMITED"
2138004SY2P3MV7Q1653,LOFOTEN ASSET MANAGEMENT LIMITED
2138004TGT1KBQ71WI58,ΑΤΛΑΣ ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ Α.Ε.Π.Ε.Υ.
2138004THIY3MSFVP862,MIR LIMITED UK LTD
2138004TIG2A3X9LLI41,CHRISTIAN AID
2138004TUI3ONH2MK159,RBC GLOBAL ASSET MANAGEMENT (UK) LIMITED
2138004U3NLEWA5ZHY32,PIRELLI INTERNATIONAL LIMITED
2138004U6JJM296SOF26,HERONBRIDGE INVESTMENT MANAGEMENT LLP
2138004UADE7XZYOY375,REGENCY ASSET MANAGEMENT (CYPRUS) LIMITED
2138004UNDYXLICL8H10,MITON GROUP PLC
2138004V8KAHW2GE5Y12,申萬宏源證券(香港)有限公司
2138004WUM8WYEBBWP52,MVAJET LTD
2138004XALS1KSCRMG03,HENDERSON ROWE LIMITED
2138004XB9VDV2ENW753,APS CAPITAL AB
2138004YBSJVUUIRA750,HABIB BANK AG ZÜRICH
2138004YRD2QPF95YH46,NUNTIUS ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ
2138004YUYHTHXMUIU13,EQUITY TRUSTEES FUND SERVICES LTD
21380051MF78L87PI591,ΒΕΤΑ ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ
213800523555X8AGR173,"""STATE BANK"" JSC"
21380052HNRVKOC1CI62,MERIT ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ ANΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ
21380055DUNS6NF26T32,BIRMINGHAM BANK LIMITED
21380055O4MIP3XI7F44,LEO STEVENS & CIE
21380055QW99UJMWYV65,PRACTIKA FINANCE LTD
21380056PF7L32XJYP53,D BANK LTD
21380057HUGFEAF25W84,NOBA BANK GROUP AB (PUBL)
21380058ERUIT9H53T71,東短ＩＣＡＰ株式会社
21380058KMSRJIL8C294,BANK OF INDIA LIMITED
2138005952US1BK73L88,J M FINN & CO LTD
2138005A64T9BK11SV48,JANUS HENDERSON INVESTORS UK LIMITED
2138005ASNB8XE2FYS15,LBG EQUITY INVESTMENTS LIMITED
2138005CG1LXB26DKE60,SODITIC ASSET MANAGEMENT LLP
2138005CNV9TY74WAR28,PHOENIX GROUP MANAGEMENT SERVICES LIMITED
